Subj,Age,Sex,Block,Cue_L,Cue_R,Out_C,Out_I,Norm_Rev,Resp_Key,Acc,RT,FixReps
101,19,f,51,1,4,1,2,0,77,1,954.509478625369,0
101,19,f,51,2,3,2,1,1,75,1,1071.45177132952,0
101,19,f,51,3,1,1,2,1,77,1,691.947228073332,0
101,19,f,51,2,4,2,1,0,65,1,780.401422111026,0
101,19,f,51,3,1,1,2,0,65,1,735.650451488254,0
101,19,f,51,3,1,1,2,1,65,1,816.501761942163,0
101,19,f,52,2,3,2,1,0,77,1,1117.68697503157,0
101,19,f,52,2,3,2,1,0,65,1,796.262521801509,0
101,19,f,52,1,3,1,2,0,77,1,856.190583133866,0
101,19,f,52,3,1,1,2,1,75,1,703.970512149681,0
101,19,f,52,4,2,2,1,1,75,1,1150.64346952568,0
101,19,f,52,3,2,2,1,0,65,1,1518.60890805438,0
101,19,f,52,3,1,1,2,1,77,1,559.829655803696,0
101,19,f,52,4,2,2,1,0,65,1,1075.62374314057,0
101,19,f,53,2,4,2,2,1,90,1,1347.47203441657,0
101,19,f,53,3,2,1,2,1,75,0,1432.19677966408,0
101,19,f,53,2,3,2,1,0,65,1,805.439893842959,0
101,19,f,53,3,2,1,2,1,77,1,497.567330813581,0
101,19,f,53,1,3,1,2,0,65,1,672.567979806445,0
101,19,f,53,4,1,2,1,1,90,1,1221.73120077059,0
101,19,f,53,3,2,2,1,0,65,1,922.299779463174,0
101,19,f,53,3,1,1,2,1,77,1,1172.58186525032,0
101,19,f,54,4,1,2,1,1,90,1,849.62971146615,0
101,19,f,54,4,1,1,2,0,77,1,1147.81265036254,0
101,19,f,54,1,3,1,1,1,90,1,899.684921194421,0
101,19,f,54,4,2,2,1,0,77,1,828.735742518802,0
101,19,f,54,4,2,2,1,0,90,1,925.064793701495,0
101,19,f,54,1,4,1,2,1,65,1,907.266372898448,0
101,19,f,54,2,4,2,1,0,75,1,1639.99152384258,0
101,19,f,54,1,4,1,2,0,77,1,802.487727985863,0
101,19,f,55,4,2,2,1,1,77,1,771.681364105461,0
101,19,f,55,2,4,2,2,1,77,1,880.836640181769,0
101,19,f,55,2,4,2,1,0,77,1,877.326641757463,0
101,19,f,55,4,2,2,1,0,75,1,805.64908105498,0
101,19,f,55,3,2,2,1,0,75,1,1423.74688407654,0
